example_id,inbound_text,prior_turns_json,cluster,sentiment,turn_type,gold_intent,gold_escalate,gold_escalate_reason,reply_checklist,pred_intent,pred_confidence,draft_reply,pred_escalate,pred_escalate_reason,human_issue_understanding,human_correctness,human_brand_voice,human_actionability,human_escalation_appropriate,human_comment
173,BUG FIXES [USER] https://t.co/deilpYfDOc,[],8,neutral,single_turn,app_compatibility_settings,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
139,[USER] I’ve updated iOS twice in the past week and I still have the text glitch occurring.,[],6,neutral,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
22,[USER] You talking about the boxes? it’s not emojis. it’s the capital letter “i”. There’s a glitch and [USER] bum asses still haven’t fixed I️t.,"[{""role"": ""user"", ""text"": ""Like theres still emojis i cant see bruh""}]",1,neutral,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
151,[USER] Apple support is down online and on the app. Getting knowwhere with this. Will drop you a DM. https://t.co/SULpjGcNiQ,"[{""role"": ""user"", ""text"": ""Oh dear. [USER] what are you sticking the screen on with, pritt stick? https://t.co/R9IppjNGhE""}, {""role"": ""assistant"", ""text"": ""[USER] We'd love to help with your Apple Watch. Please DM us to continue from here. We'll gladly look into all options to get this sorted out as soon as possible. Also, please let us know which country you're tweeting from. https://t.co/GDrqU22YpT""}]",7,positive,multi_turn,app_compatibility_settings,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,app_compatibility_settings,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
108,"I wonder if anyone at [USER] will reach out to me about this. I wonder if what I said even matters. Ugh, no headphones before solo traveling abroad is no bueno.","[{""role"": ""user"", ""text"": ""So now, I am definitely very much not happy at all. On top of that, I go to https://t.co/cYqvopJ9RM and can\u2019t even provide feedback unless it is product specific... and there isn\u2019t even an option for beats by Dre!""}, {""role"": ""user"", ""text"": ""[USER] , I hope you see this and respond, because I am INCREDIBLY discontent by this entire experience, and I hope that I will finally be able to hear back from someone. Not to mention my headphones are broken and I leave for my out of country trip on 11/24!""}, {""role"": ""user"", ""text"": ""So here I am, [USER], still with broken headphones that aren\u2019t in my possession, disgruntled from the runaround I was given to provide Apple feedback, and being told to pay for repairs that I was guaranteed would be covered under warranty.""}, {""role"": ""user"", ""text"": ""Also, can someone please tell that rep who spoke to me at the Apple Store to \u201cjust make an appointment\u201d that he should be more polite and respectful when speaking to customers?""}]",5,negative,multi_turn,media_audio_services,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Guide through force-closing music app and checking audio settings; ask for headset/device model. Never promise ungrounded facts or ETAs.,media_audio_services,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Thread has 4 unresolved customer turns (>= 3),,,,,,
8,Nunca me había quejado de iOS pero esta vez tienen un error con nueva actualización tan mierda se traba el teclado bastante [USER],[],0,negative,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
7,[USER] me ajudem por favor 🤦🏻‍♂️,"[{""role"": ""user"", ""text"": ""Gente s\u00f3 eu que to com problema no Imessenge?""}]",0,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
23,"[USER] Funny, autocorrect still changes actual words to other words that it “thinks” it should be. Still not working correctly. Instead of another new phone, fix the ones currently out not working properly","[{""role"": ""user"", ""text"": ""[USER] how about fixing your stupid autocorrect to recognize ACTUAL WORDS instead of worrying about 70 new friggen emojis! Last time I checked \u201cthe\u201d IS A WORD!!! Smartphone my a$$!!!""}]",1,positive,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
55,[USER] and sometimes when opening one of these applications the screen just stays blank like it’s loading but it’s stuck and I have to hard-reset the iPhone to be able use it again.. (2/2),"[{""role"": ""assistant"", ""text"": ""[USER] Did these issues happen before updating to iOS 11.1.2? If so, do you remember which update this started on?""}, {""role"": ""user"", ""text"": ""[USER] [USER] i\u2019m having exactly the same problems with 11.1.2 but I was having the same problems with the one before. I hoped this last one would fix it. It didn\u2019t :( it\u2019s really annoying. Have to hard-reset a lot.""}, {""role"": ""assistant"", ""text"": ""[USER] We'd like to help with any issues you're experiencing. Please let us know which iPhone you're using, and exactly what's going on. For example, is this occurring when using specific apps, or taking certain actions?""}, {""role"": ""user"", ""text"": ""[USER] i\u2019m using an iPhone 7 Plus. I have the problem with everything. With opening apps, the appstore, my contacts, my mail. It just freezes. Sometimes I double tap the home button and remove it to restart the app and it\u2019s still the same.. (1/2)""}]",2,negative,multi_turn,app_compatibility_settings,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,app_compatibility_settings,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
59,"[USER] Thanks! iPhone 6s Plus - I have very little data available, but have very few apps downloaded and my camera roll currently looks like this? Can you give me some advice please. I have deleted all irrelevant data https://t.co/nEScxy3dmt","[{""role"": ""user"", ""text"": ""[USER] hi! I'm having a few issues with my memory - I wonder if you could help me?""}, {""role"": ""assistant"", ""text"": ""[USER] Hi. We are here to help. What issues are you experiencing? Also, what device are you using?""}]",2,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,app_compatibility_settings,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
129,[USER] my device is ipad 4 and ios 8,"[{""role"": ""user"", ""text"": ""[USER] My critical ops game keeps on crashing what should i do""}, {""role"": ""assistant"", ""text"": ""[USER] Thanks for reaching out. What device are you playing on, and what version of software is that device running?""}]",6,neutral,multi_turn,software_update_ios,True,High-risk intent: OS update defect/regression requires support ticket,Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
154,[USER] aye fam.. can we get this Apple update on the messages and these ? that are everywhere. It’s mad annoying.,[],7,negative,single_turn,software_update_ios,True,High-risk intent: OS update defect/regression requires support ticket,Express professional empathy/apology for frustration; Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,software_update_ios,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'software_update_ios' is tagged as high-risk,,,,,,
194,[USER] After upgrading to High Sierra the APFS format has issues. You can’t save files directly or live when opening with an editor.,[],9,positive,single_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,macos_hardware_support,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'macos_hardware_support' is tagged as high-risk,,,,,,
143,i have to scroll down to see the notification that i just recieved because of some spam in inbox? WTF [USER],"[{""role"": ""user"", ""text"": ""wtf did they think making ios11 notification center? why the hell is it not in chronological order automatically??""}]",7,negative,multi_turn,account_icloud_store,True,High-risk intent: account security/data loss concern requires verified human intervention,Express professional empathy/apology for frustration; Never ask for passwords or full card numbers; direct to secure Apple ID portal or private DM. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
50,Had my phone on the charger for a 3 hour car ride somehow didn’t gain any battery only lost it. Do me a favor [USER] go kick rocks,[],10,positive,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,battery_power_drain,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'battery_power_drain' is tagged as high-risk,,,,,,
166,"[USER] Oh, did that feature not make it to the final release? It was previewed in June.","[{""role"": ""user"", ""text"": ""[USER] Yes, well, I can\u2019t seem to find a setting to turn on the iCloud message syncing across devices\u2026""}, {""role"": ""assistant"", ""text"": ""[USER] Thanks dor that information.  Take a look at this link and let us know if that helps: https://t.co/jmMBILbFAw https://t.co/GDrqU22YpT""}, {""role"": ""user"", ""text"": ""[USER] Hi, I\u2019m actually talking about the ability to say, delete a message on my mac and it deletes it everywhere through icloud.""}, {""role"": ""assistant"", ""text"": ""[USER] Syncing messages would not delete the message from all devices.""}]",8,neutral,multi_turn,app_compatibility_settings,True,Thread length: 3+ prior unresolved conversation turns,Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
185,[USER] Yes that it isn’t compatible with os9. But before I erased it there was a copy in there that worked - not latest but it worked.,"[{""role"": ""user"", ""text"": ""[USER] why can\u2019t I download the last compatible version of an app on an iPad 3?""}, {""role"": ""assistant"", ""text"": ""[USER] Hi. We'll do our best to help. Are you getting an error when you try to download the app?""}]",9,positive,multi_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
107,[USER] No but apps are crashing when airplaying audio to AppleTV (WiFi) or my car stereo (Bluetooth).,"[{""role"": ""assistant"", ""text"": ""Seeing an i\ufe0f whenever you type \u201ci\"" in iOS 11.1? \n\nFix it by installing the latest software update.\nhttps://t.co/NX7ObPTLvY""}]",5,negative,multi_turn,media_audio_services,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Guide through force-closing music app and checking audio settings; ask for headset/device model. Never promise ungrounded facts or ETAs.,connectivity_network_issue,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
56,[USER] iPhone 7. Had the last newest iOS when contacts + messages where gone. Restarted and then they where back. Downloaded newest iOS - now gone,"[{""role"": ""user"", ""text"": ""[USER] All my messages disappeared today while holding the phone in my hand. Restarted and it was back. But now gone again. HELP!! \ud83d\ude29""}, {""role"": ""assistant"", ""text"": ""[USER] Let's gather some information to see how we can get your messages to reappear. What device and iOS version are you using?""}]",2,neutral,multi_turn,device_os_glitch,True,High-risk intent: device OS freezing/instability requires technical tier-2 escalation,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
114,[USER] It works fine with my car Bluetooth. But with my portable speaker and other portable speakers it does not,"[{""role"": ""user"", ""text"": ""[USER] my iPhone 8plus keeps disconnecting from my Bluetooth speaker""}, {""role"": ""assistant"", ""text"": ""[USER] We'd like to help with this Bluetooth issue. Are there any other Bluetooth devices you use? If so, does the same happen?""}]",5,positive,multi_turn,connectivity_network_issue,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise toggle Airplane Mode / restart; ask for carrier and device model; direct to DM. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
150,[USER] If I log in. The app installs. But I still can't access my account details from the app store homepage (icon right top corner),"[{""role"": ""assistant"", ""text"": ""[USER] What type of message do you get when trying to download new apps?""}, {""role"": ""user"", ""text"": ""[USER] I get a log in. When I use existing with my new credentials, the window disappears but nothing happens. https://t.co/0qK76jIbcm""}, {""role"": ""user"", ""text"": ""[USER] So after the previous screenshot I take the first option and then this appears. Put in credentials and this screen closes. Nothing happens https://t.co/eJwJMDT3ej""}, {""role"": ""user"", ""text"": ""[USER] More info. Second time I click download another pop-up appears allowing me to choose 'install'. When I click it this appears. https://t.co/NnkCUvHTeB""}]",7,positive,multi_turn,account_icloud_store,True,Thread length: 3+ prior unresolved conversation turns,Never ask for passwords or full card numbers; direct to secure Apple ID portal or private DM. Never promise ungrounded facts or ETAs.,account_icloud_store,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'account_icloud_store' is tagged as high-risk,,,,,,
71,[USER] fix this shit!!,"[{""role"": ""user"", ""text"": ""I\ufe0f I\ufe0f I\ufe0f I\ufe0f I\ufe0f I\ufe0f""}]",3,negative,multi_turn,conversation_followup_status,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Acknowledge status warmly; confirm if further assistance is needed; sign off courteously. Never promise ungrounded facts or ETAs.,other,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
1,"[USER] Digo hola [USER] Mi IPhone X, un día de uso, presento error en el Face ID y no me permite decir Hola al futuro!! Alguna solución? https://t.co/O4EWhlMxbi","[{""role"": ""user"", ""text"": ""Dile hola al futuro. Compra el iPhone X.""}]",0,negative,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,account_icloud_store,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'account_icloud_store' is tagged as high-risk,,,,,,
40,"[USER] [USER] Actually, my Bluetooth and WiFi turning themselves on draining my battery... how can I downgrade to iOS 10.3?","[{""role"": ""user"", ""text"": ""Hi [USER] why does my Bluetooth keep turning itself on in iOS11.1.1, and how can I stop it?""}]",10,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,battery_power_drain,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'battery_power_drain' is tagged as high-risk,,,,,,
182,[USER] THE MACBOOK??!!?,"[{""role"": ""user"", ""text"": ""I DELETED EVERYTHING HOW IN THE SHITTTT IS MY DISK STILL FULL [USER]""}, {""role"": ""assistant"", ""text"": ""[USER] We'd like to help! Which device do you see a \""disc full\"" error? We may have some tips to help continue to open up more storage space.""}]",9,neutral,multi_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,macos_hardware_support,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'macos_hardware_support' is tagged as high-risk,,,,,,
87,[USER] help ?? https://t.co/IIZ9Yjo37L,[],3,positive,single_turn,conversation_followup_status,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Acknowledge status warmly; confirm if further assistance is needed; sign off courteously. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
165,[USER] Yesterday or Sunday. I just do the classic lock button and home button reset,"[{""role"": ""user"", ""text"": ""[USER] you guys really did it with this update. You turned my old iPhone into a literal brick.""}, {""role"": ""assistant"", ""text"": ""[USER] Certainly not the behavior we want you to receive. Could you tell us which iPhone and iOS version you're using?""}, {""role"": ""user"", ""text"": ""[USER] iPhone 6s and iOS 11.0.3. Many different apps freeze and I\u2019ll be able to close out, but if I try to open again it freezes the phone.""}, {""role"": ""assistant"", ""text"": ""[USER] Thanks for those details. When did you install 11.0.3? What do you do to restore functionality when your iPhone freezes?""}]",8,neutral,multi_turn,device_os_glitch,True,Thread length: 3+ prior unresolved conversation turns,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,device_os_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'device_os_glitch' is tagged as high-risk,,,,,,
39,[USER] This is happening for last 7-10 days.. Using charger that came with the device..,"[{""role"": ""user"", ""text"": ""[USER] my iPad 5, 9.7\"" is taking 5-6 hours to get charged from 25% to 90%.\nIs this normal?? [USER]""}, {""role"": ""assistant"", ""text"": ""[USER] Let's tackle this together. How long has this been going on? Are you using the charger that came with the device?""}]",10,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,battery_power_drain,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'battery_power_drain' is tagged as high-risk,,,,,,
178,[USER] im not able to update my pre installed apps as im getting some verification error!!! Kindly check this on,[],8,positive,single_turn,software_update_ios,True,High-risk intent: OS update defect/regression requires support ticket,Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,software_update_ios,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'software_update_ios' is tagged as high-risk,,,,,,
