example_id,inbound_text,prior_turns_json,cluster,sentiment,turn_type,gold_intent,gold_escalate,gold_escalate_reason,reply_checklist,pred_intent,pred_confidence,draft_reply,pred_escalate,pred_escalate_reason
15,Mais alguém que tenha iPhone e não ta conseguindo atualizar/baixar apps?! [USER] help us!,[],0,positive,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
16,[USER] amor quero minhas notificações,[],0,positive,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
17,Dude Fuck this fucking bullshit “i” shit. Get your fucking shit together [USER].,"[{""role"": ""user"", ""text"": ""Both of my kids are sleeping... what do I\ufe0f do? Do I\ufe0f clean? Paint? Take over the world and kill all the naysayers? Stay tuned.""}]",1,negative,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
18,[USER] Fix that that stupid keyboard glitch already.,"[{""role"": ""assistant"", ""text"": ""Walks. Workouts. Watching TV.\nSee how your heart rate changes through the day in watchOS 4. Learn more https://t.co/TPJZlmXNul""}]",1,negative,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
19,"[USER] Oh, and that weird I️ autocorrect thing just started happening with me, too. Yesterday.","[{""role"": ""user"", ""text"": ""Yo, [USER] second morning in a row my alarm didn\u2019t go off. What gives?""}, {""role"": ""assistant"", ""text"": ""[USER] We want to help you with your phone. Which iOS are you running on your device? How long has this been going on?""}, {""role"": ""user"", ""text"": ""[USER] Just the past 2 days. I\u2019m on a 64GB SE running on 11.0.2. I\ufe0f do have a software update available so I\u2019m gonna try updating at home.""}]",1,negative,multi_turn,keyboard_text_glitch,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
20,"[USER] It happens on my phone &amp; computer - in texts, &amp; on Facebook, Twitter, IG - ever since the update. Just the letter “I️” https://t.co/I6WRn6Sna1","[{""role"": ""user"", ""text"": ""Hey [USER] why does my phone do the A ? all over social media when someone types \u201cI\ufe0f\u201d ??? https://t.co/VWESZe0hLH""}, {""role"": ""assistant"", ""text"": ""[USER] Great question. Is this happening with your device or are you only seeing it when someone else types? DM us. https://t.co/GDrqU22YpT""}]",1,neutral,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
21,THERE WERENT ANY EMOJIS IN THIS AND THERE IS STILL A BOX!!!!! [USER] [USER] https://t.co/XVVCHFuvI0,"[{""role"": ""user"", ""text"": ""I\ufe0f feel myself getting more and more aggravated with everything as the semester comes to an end""}]",1,neutral,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
22,[USER] You talking about the boxes? it’s not emojis. it’s the capital letter “i”. There’s a glitch and [USER] bum asses still haven’t fixed I️t.,"[{""role"": ""user"", ""text"": ""Like theres still emojis i cant see bruh""}]",1,neutral,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
23,"[USER] Funny, autocorrect still changes actual words to other words that it “thinks” it should be. Still not working correctly. Instead of another new phone, fix the ones currently out not working properly","[{""role"": ""user"", ""text"": ""[USER] how about fixing your stupid autocorrect to recognize ACTUAL WORDS instead of worrying about 70 new friggen emojis! Last time I checked \u201cthe\u201d IS A WORD!!! Smartphone my a$$!!!""}]",1,positive,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
24,[USER] [USER] Me too! “i” seems like an important letter for Apple to get right....,"[{""role"": ""user"", ""text"": ""Anyone else\u2019s #iphone inserting this weird symbol \u201cI\ufe0f \u201c instead of the letter \u201ci\u201d? Annoying. I\ufe0f phone. See! [USER]""}]",1,positive,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
25,[USER] [USER] [USER] [USER] Ooppppp JK looks like it works when I️ type but changes when I️ press send 😒,"[{""role"": ""user"", ""text"": ""[USER] [USER] [USER] OK YES THIS IS HAPPENING TO ME TOO""}, {""role"": ""user"", ""text"": ""[USER] [USER] [USER] [USER] You gotta update your phone to the new iOS""}, {""role"": ""user"", ""text"": ""[USER] [USER] [USER] [USER] I\ufe0f updated to the new iOS and got this""}, {""role"": ""user"", ""text"": ""[USER] [USER] [USER] [USER] Weird mine worked for some reason.... I\ufe0f""}]",1,positive,multi_turn,keyboard_text_glitch,True,Thread length: 3+ prior unresolved conversation turns,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
26,[USER] fix this update! I’m tired of seeing I️ every time I️ type the letter i.,[],1,negative,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
27,"Dude, [USER] why have y’all made “I.T” pop up when I type “it”. I hate I.T ????? I need answers",[],1,negative,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
28,[USER] what’s up with the new iPad keyboard? Make it harder to use? Come on - do better. I don’t want to fight for a “5” instead of a “t”. Y’all this is just bad...,[],1,negative,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
29,[USER] FIX THIS BUG WHERE MY PHONE CANT TYPE THE LETTER “I” WITHOUT IT AUTO CORRECTING TO HIEROGLYPHICS 🙄🙄,[],1,neutral,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
30,Why do i see “I” as “A?” [USER]? HALP,[],1,neutral,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
31,[USER] why is “i” replaced with a question mark box ?,[],1,neutral,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
32,[USER] I️ can’t type anything without the weird boxes popping up. Please fix this,[],1,positive,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
33,Hey [USER] can you make my keyboard go back to normal?? Why does it change certain letters to this?? https://t.co/Wha1rZ7D75,[],1,positive,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
34,"This would be nice if [USER] would fix the ninth letter of the alphabet so that it doesn’t correct to an exclamation/question mark duo when it stands alone, typically at the beginning of sentences used to refer to oneself. But hey, it’s not my call, only [USER] has the ability to https://t.co/pb6IdhpcD9",[],1,positive,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
35,[USER] iOS 11 and I've tried all the tips. Sometimes battery goes from 100 to 80 percent in 15 minutes. Without any special activity,"[{""role"": ""user"", ""text"": ""[USER] Hi there, I think that my iP6s's battery drains too fast. Is there a way to check battery health?""}, {""role"": ""assistant"", ""text"": ""[USER] We'd love to help. Which iOS version are you using? Also, have you had a chance to try the tips here: https://t.co/bivpdfBNJ6""}]",10,negative,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
36,[USER] I’m finding I need to recharge fairly often at 3pm as the charge has dropped to 20%. I just wonder whether the battery has worn out? https://t.co/dVFne7fVJK,"[{""role"": ""user"", ""text"": ""Hey [USER] is there a way I can tell what the battery health is like on my 6s plus at all?""}, {""role"": ""assistant"", ""text"": ""[USER] Let's take a look together. To start, are you experiencing any issue with your battery currently? If so, what's going on?""}]",10,negative,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
37,[USER] not lying but my battery is fucked up,"[{""role"": ""user"", ""text"": ""[USER] are u guys changing battery for free on iPhone? (lol i wish)""}]",10,negative,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
38,[USER] #itsucks battery mostly #ios11,"[{""role"": ""user"", ""text"": ""And as I started believing in perfection...[USER] rolled out IOS 11\n#itsucks""}]",10,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
39,[USER] This is happening for last 7-10 days.. Using charger that came with the device..,"[{""role"": ""user"", ""text"": ""[USER] my iPad 5, 9.7\"" is taking 5-6 hours to get charged from 25% to 90%.\nIs this normal?? [USER]""}, {""role"": ""assistant"", ""text"": ""[USER] Let's tackle this together. How long has this been going on? Are you using the charger that came with the device?""}]",10,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
40,"[USER] [USER] Actually, my Bluetooth and WiFi turning themselves on draining my battery... how can I downgrade to iOS 10.3?","[{""role"": ""user"", ""text"": ""Hi [USER] why does my Bluetooth keep turning itself on in iOS11.1.1, and how can I stop it?""}]",10,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
41,[USER] This still hasn’t resolved my battery life .[USER] I’m not even using my iPhone and battery drains!,"[{""role"": ""user"", ""text"": ""NO!! The #iOS update 11.0.3 is draining the battery life faster than ever!! [USER] 100% to %7 in two hours!""}, {""role"": ""assistant"", ""text"": ""[USER] Battery life is important, and we can help. As a starting point, try these steps to help: https://t.co/bivpdfBNJ6""}]",10,positive,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
42,[USER] Ever since the update the light dims and brightens on its own. I’m using a 6. I’m gonna set it at a specific level and see how long it stays https://t.co/0XCV91sVPF,"[{""role"": ""user"", ""text"": ""Subscribe to Apple Music. Pop in your AirPods. Then stream 40 million songs from your Apple Watch Series 3. https://t.co/Rc9088bUEA https://t.co/YXXYLdJjd0""}, {""role"": ""user"", ""text"": ""[USER] Please stop fucking with my backlight, I could barely get through the whole day the way it was.""}, {""role"": ""assistant"", ""text"": ""[USER] We'd like to help, but we'll need more details about the backlight issue to start.  Also, what model is it? iOS version?""}]",10,positive,multi_turn,software_update_ios,True,Thread length: 3+ prior unresolved conversation turns,Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,,,,,
43,[USER] [USER] Snap. Downloaded all the updates as well but my 5S still drains twice as quick as it used to and goes from 20% to ‘off’ in seconds. Grrrr,"[{""role"": ""user"", ""text"": ""Hi [USER], could you pls explain why, since I downloaded yr iOS update, my iPhone crashes at 10%,  20%, even 40% battery? Massively inconvenient at best.""}]",10,positive,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
44,[USER] hello i just updated my ip6 to ios 11.2 and the battery drains waaaaay to fast like literally it lost 20% withing ten minutes without using anything. I’m so disappointed by this please help 😣😢,[],10,negative,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
45,"[USER] Stop DMing people about their “battery life solutions” - tell us ALL. 😳
Will iOS 11.0.3 fix this?",[],10,negative,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
46,[USER] iOS 11.0.3 is killing my phone battery and turning on my Bluetooth on its own.  Fix this Sh&amp;$!,[],10,negative,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
47,#iOS11 drains my battery!!! Yo [USER] fix this situation!,[],10,neutral,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
48,"The new update on iOS is slowing down every thing on my iPhone and draining my battery, too. Seriously,[USER]? 😒",[],10,neutral,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
49,Is it only me or others are also facing #iPhone7 battery drain issue?? [USER] [USER],[],10,neutral,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
50,Had my phone on the charger for a 3 hour car ride somehow didn’t gain any battery only lost it. Do me a favor [USER] go kick rocks,[],10,positive,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
51,"Yay, I️ won the lottery with the latest iPhone glitch! And [USER] still claims my bad battery doesn’t qualify for the recall so YAY for me! https://t.co/1D7zhAZPdz",[],10,positive,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,,,,,
52,Well 11.1 has not solved the rapid battery drain #ios111 [USER] [USER],[],10,positive,single_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
53,[USER] No because every software upgrade you release slows down my iPhone 6 even though it’s only 3 years old.,"[{""role"": ""user"", ""text"": ""Genuinely don\u2019t think my sister has stopped talking since she got here last night""}, {""role"": ""user"", ""text"": ""Also tried to tweet this 3 times but it kept messing up Bc of the damn I\ufe0f glitch [USER] FIX THIS SHIT""}, {""role"": ""assistant"", ""text"": ""[USER] Thanks for reaching out.  We know how important it is for your auto-correct to work as expected and we'll do everything we can to assist.  Have you had a chance to update to iOS 11.1.2?  Let us know in DM. https://t.co/GDrqU22YpT""}]",2,negative,multi_turn,connectivity_network_issue,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Advise toggle Airplane Mode / restart; ask for carrier and device model; direct to DM. Never promise ungrounded facts or ETAs.,,,,,
54,[USER] my iphone's screen stopped responding in the middle of nowhere as if it got busy. its been 15 long hours yet NO hope. how come?,"[{""role"": ""user"", ""text"": ""so my iPhone was perfectly working a minute back and then it stopped working just out of nowhere. what kind of a sorcery is this \ud83d\ude36 [USER]""}, {""role"": ""assistant"", ""text"": ""[USER] What trouble are you having? We'll look into this with you and see what's going on.""}]",2,negative,multi_turn,connectivity_network_issue,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Advise toggle Airplane Mode / restart; ask for carrier and device model; direct to DM. Never promise ungrounded facts or ETAs.,,,,,
55,[USER] and sometimes when opening one of these applications the screen just stays blank like it’s loading but it’s stuck and I have to hard-reset the iPhone to be able use it again.. (2/2),"[{""role"": ""assistant"", ""text"": ""[USER] Did these issues happen before updating to iOS 11.1.2? If so, do you remember which update this started on?""}, {""role"": ""user"", ""text"": ""[USER] [USER] i\u2019m having exactly the same problems with 11.1.2 but I was having the same problems with the one before. I hoped this last one would fix it. It didn\u2019t :( it\u2019s really annoying. Have to hard-reset a lot.""}, {""role"": ""assistant"", ""text"": ""[USER] We'd like to help with any issues you're experiencing. Please let us know which iPhone you're using, and exactly what's going on. For example, is this occurring when using specific apps, or taking certain actions?""}, {""role"": ""user"", ""text"": ""[USER] i\u2019m using an iPhone 7 Plus. I have the problem with everything. With opening apps, the appstore, my contacts, my mail. It just freezes. Sometimes I double tap the home button and remove it to restart the app and it\u2019s still the same.. (1/2)""}]",2,negative,multi_turn,app_compatibility_settings,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,,,,,
56,[USER] iPhone 7. Had the last newest iOS when contacts + messages where gone. Restarted and then they where back. Downloaded newest iOS - now gone,"[{""role"": ""user"", ""text"": ""[USER] All my messages disappeared today while holding the phone in my hand. Restarted and it was back. But now gone again. HELP!! \ud83d\ude29""}, {""role"": ""assistant"", ""text"": ""[USER] Let's gather some information to see how we can get your messages to reappear. What device and iOS version are you using?""}]",2,neutral,multi_turn,device_os_glitch,True,High-risk intent: device OS freezing/instability requires technical tier-2 escalation,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,,,,,
57,[USER] My phone has frozen on this new IOS and i couldnt enter any app until i https://t.co/hyUcQ9os1M photos arent recovering !!!,"[{""role"": ""assistant"", ""text"": ""Keep your eyes on the road, not on your #iPhone. Use Do Not Disturb While Driving to limit notifications. https://t.co/CQfnicS7WD""}]",2,neutral,multi_turn,device_os_glitch,True,High-risk intent: device OS freezing/instability requires technical tier-2 escalation,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,,,,,
58,[USER] that the iPhone needs to charge and the device does not recognize the cable,"[{""role"": ""user"", ""text"": ""[USER] Hi i have a problem with iphone, i have locked the iphone and need to unlock about the problem iTunes""}]",2,neutral,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
59,"[USER] Thanks! iPhone 6s Plus - I have very little data available, but have very few apps downloaded and my camera roll currently looks like this? Can you give me some advice please. I have deleted all irrelevant data https://t.co/nEScxy3dmt","[{""role"": ""user"", ""text"": ""[USER] hi! I'm having a few issues with my memory - I wonder if you could help me?""}, {""role"": ""assistant"", ""text"": ""[USER] Hi. We are here to help. What issues are you experiencing? Also, what device are you using?""}]",2,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
60,[USER] Apple-iphone definitely was hacked-THOUSANDS of gigs of #photos #disappeared overnight [USER],"[{""role"": ""user"", ""text"": ""[USER] we need to connect-something\u2019s WAY WRONG-will CALL you....PERSONALLY""}]",2,positive,multi_turn,app_compatibility_settings,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,,,,,
61,[USER] Still no good...just had it replaced though so all is well. First iPhone X return the store had done 😂,"[{""role"": ""user"", ""text"": ""[USER] \u00a31000 for a phone that I can\u2019t activate; 2 different SIM cards that work in other phones and your support says call carrier?""}, {""role"": ""assistant"", ""text"": ""[USER] Congratulations on your new iPhone and thanks for your patience, check out this for activation issues: https://t.co/ywHIZGN4Ac""}]",2,positive,multi_turn,connectivity_network_issue,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise toggle Airplane Mode / restart; ask for carrier and device model; direct to DM. Never promise ungrounded facts or ETAs.,,,,,
